Sampling_Rate,Duration,Score,Recording_Length,Error,Participant,Database,Method
250,0.788996,0.0011521906112445285,2.0,None,GUDB_00,GUDB_sitting,christov2004
250,0.792851,0.0019622582634443385,2.0,None,GUDB_00,GUDB_maths,christov2004
250,0.781025,0.002721376758631295,2.0,None,GUDB_00,GUDB_walking,christov2004
250,0.789204,0.005070020240438714,2.0,None,GUDB_00,GUDB_hand_bike,christov2004
250,0.754683,0.0046667932166531405,2.0,None,GUDB_00,GUDB_jogging,christov2004
250,0.699502,0.23196588008488864,2.0,None,GUDB_01,GUDB_sitting,christov2004
250,0.660833,0.2486531815153971,2.0,None,GUDB_01,GUDB_maths,christov2004
250,0.660166,0.280701217763738,2.0,None,GUDB_01,GUDB_walking,christov2004
250,0.684888,0.22867536449263706,2.0,None,GUDB_01,GUDB_hand_bike,christov2004
250,0.683994,0.0831415558734788,2.0,None,GUDB_01,GUDB_jogging,christov2004
250,0.807525,0.002564192682702241,2.0,None,GUDB_02,GUDB_sitting,christov2004
250,0.789332,0.0022747727691909136,2.0,None,GUDB_02,GUDB_maths,christov2004
250,0.765413,0.0024331747776576967,2.0,None,GUDB_02,GUDB_walking,christov2004
250,0.754469,0.005688547358937778,2.0,None,GUDB_02,GUDB_jogging,christov2004
250,0.788562,0.0011073975558909546,2.0,None,GUDB_03,GUDB_sitting,christov2004
250,0.774298,0.0024504682544566315,2.0,None,GUDB_03,GUDB_maths,christov2004
250,0.800614,0.0013246691028211566,2.0,None,GUDB_03,GUDB_walking,christov2004
250,0.79279,0.002412670290764102,2.0,None,GUDB_03,GUDB_hand_bike,christov2004
250,0.749938,0.002051947537840869,2.0,None,GUDB_03,GUDB_jogging,christov2004
250,0.813964,0.005236801613439207,2.0,None,GUDB_04,GUDB_sitting,christov2004
250,0.789632,0.004074546268782119,2.0,None,GUDB_04,GUDB_maths,christov2004
250,0.769793,0.002840487099680295,2.0,None,GUDB_04,GUDB_walking,christov2004
250,0.78175,0.005327312363507718,2.0,None,GUDB_04,GUDB_hand_bike,christov2004
250,0.732862,0.006417420376973383,2.0,None,GUDB_04,GUDB_jogging,christov2004
250,0.779576,0.0018482400009319636,2.0,None,GUDB_05,GUDB_sitting,christov2004
250,0.762368,0.001448867230902069,2.0,None,GUDB_05,GUDB_maths,christov2004
250,0.792205,0.00395500892373028,2.0,None,GUDB_05,GUDB_walking,christov2004
250,0.79497,0.0020382820475181216,2.0,None,GUDB_05,GUDB_hand_bike,christov2004
250,0.780664,0.0030880252879884286,2.0,None,GUDB_05,GUDB_jogging,christov2004
250,0.8067,0.0015755128800507992,2.0,None,GUDB_06,GUDB_sitting,christov2004
250,0.791476,0.00650048833639912,2.0,None,GUDB_06,GUDB_maths,christov2004
250,0.777632,0.0030311114329121744,2.0,None,GUDB_06,GUDB_walking,christov2004
250,0.777967,0.006525765368138481,2.0,None,GUDB_06,GUDB_hand_bike,christov2004
250,0.739101,0.007147590836042648,2.0,None,GUDB_06,GUDB_jogging,christov2004
250,0.771596,0.001906512155093628,2.0,None,GUDB_07,GUDB_sitting,christov2004
250,0.791974,0.0016089771515417656,2.0,None,GUDB_07,GUDB_maths,christov2004
250,0.773475,0.0028887372571557136,2.0,None,GUDB_07,GUDB_walking,christov2004
250,0.804254,0.0019962547122273425,2.0,None,GUDB_07,GUDB_hand_bike,christov2004
250,0.717048,0.09450173283136738,2.0,None,GUDB_07,GUDB_jogging,christov2004
250,0.804057,0.001077927702155064,2.0,None,GUDB_08,GUDB_sitting,christov2004
250,0.783532,0.0010528481832623858,2.0,None,GUDB_08,GUDB_maths,christov2004
250,0.782304,0.0012555372886466543,2.0,None,GUDB_08,GUDB_walking,christov2004
250,0.766882,0.0019241437205371847,2.0,None,GUDB_08,GUDB_hand_bike,christov2004
250,0.752279,0.006135043614372328,2.0,None,GUDB_08,GUDB_jogging,christov2004
250,0.772852,0.0014420821946883812,2.0,None,GUDB_09,GUDB_sitting,christov2004
250,0.753631,0.0004468928782372105,2.0,None,GUDB_09,GUDB_maths,christov2004
250,0.779221,0.0015668656015369695,2.0,None,GUDB_09,GUDB_walking,christov2004
250,0.780961,0.0014994800870742632,2.0,None,GUDB_09,GUDB_hand_bike,christov2004
250,0.73599,0.0032449079765623718,2.0,None,GUDB_09,GUDB_jogging,christov2004
250,0.778432,0.003921018457338876,2.0,None,GUDB_10,GUDB_sitting,christov2004
250,0.801738,0.0026011255016774046,2.0,None,GUDB_10,GUDB_maths,christov2004
250,0.780222,0.0016913078211403176,2.0,None,GUDB_10,GUDB_walking,christov2004
250,0.778979,0.006234975111181308,2.0,None,GUDB_10,GUDB_hand_bike,christov2004
250,0.730308,0.05376341840310218,2.0,None,GUDB_10,GUDB_jogging,christov2004
250,0.701614,0.5065107384220379,2.0,None,GUDB_11,GUDB_sitting,christov2004
250,0.679959,0.4474234221588406,2.0,None,GUDB_11,GUDB_maths,christov2004
250,0.683867,0.41295864598881776,2.0,None,GUDB_11,GUDB_walking,christov2004
250,0.678378,0.4273035233374367,2.0,None,GUDB_11,GUDB_hand_bike,christov2004
250,0.713472,0.08825189430631196,2.0,None,GUDB_11,GUDB_jogging,christov2004
250,0.741426,0.0016883777296291748,2.0,None,GUDB_12,GUDB_sitting,christov2004
250,0.741319,0.0014150976518183995,2.0,None,GUDB_12,GUDB_maths,christov2004
250,0.759688,0.0020070244585148936,2.0,None,GUDB_12,GUDB_walking,christov2004
250,0.896136,0.002181257170985041,2.0,None,GUDB_12,GUDB_hand_bike,christov2004
250,0.728553,0.008084511944690242,2.0,None,GUDB_12,GUDB_jogging,christov2004
250,0.786185,0.0021131199824390378,2.0,None,GUDB_13,GUDB_sitting,christov2004
250,0.758891,0.003964825108358627,2.0,None,GUDB_13,GUDB_maths,christov2004
250,0.791251,0.0025741126259710956,2.0,None,GUDB_13,GUDB_walking,christov2004
250,0.761025,0.008831424728098183,2.0,None,GUDB_13,GUDB_hand_bike,christov2004
250,0.744382,0.0064592909049542195,2.0,None,GUDB_13,GUDB_jogging,christov2004
250,0.687843,0.4020156973513491,2.0,None,GUDB_14,GUDB_sitting,christov2004
250,0.787047,0.004959014646750002,2.0,None,GUDB_14,GUDB_maths,christov2004
250,0.69411,0.2824139027392195,2.0,None,GUDB_14,GUDB_walking,christov2004
250,0.677582,0.3233848720799275,2.0,None,GUDB_14,GUDB_hand_bike,christov2004
250,0.777541,0.0013208335026614513,2.0,None,GUDB_15,GUDB_sitting,christov2004
