Sampling_Rate,Duration,Score,Recording_Length,Error,Participant,Database,Method
250,0.848943,0.0011521906112445285,2.0,None,GUDB_00,GUDB_sitting,christov2004
250,0.826965,0.0019622582634443385,2.0,None,GUDB_00,GUDB_maths,christov2004
250,0.8282,0.002721376758631295,2.0,None,GUDB_00,GUDB_walking,christov2004
250,0.796981,0.005070020240438714,2.0,None,GUDB_00,GUDB_hand_bike,christov2004
250,0.787852,0.0046667932166531405,2.0,None,GUDB_00,GUDB_jogging,christov2004
250,0.723191,0.23196588008488864,2.0,None,GUDB_01,GUDB_sitting,christov2004
250,0.745573,0.2486531815153971,2.0,None,GUDB_01,GUDB_maths,christov2004
250,0.67305,0.280701217763738,2.0,None,GUDB_01,GUDB_walking,christov2004
250,0.714925,0.22867536449263706,2.0,None,GUDB_01,GUDB_hand_bike,christov2004
250,0.705986,0.0831415558734788,2.0,None,GUDB_01,GUDB_jogging,christov2004
250,0.827862,0.002564192682702241,2.0,None,GUDB_02,GUDB_sitting,christov2004
250,0.799681,0.0022747727691909136,2.0,None,GUDB_02,GUDB_maths,christov2004
250,0.916888,0.0024331747776576967,2.0,None,GUDB_02,GUDB_walking,christov2004
250,0.767269,0.005688547358937778,2.0,None,GUDB_02,GUDB_jogging,christov2004
250,0.822605,0.0011073975558909546,2.0,None,GUDB_03,GUDB_sitting,christov2004
250,0.822236,0.0024504682544566315,2.0,None,GUDB_03,GUDB_maths,christov2004
250,0.800315,0.0013246691028211566,2.0,None,GUDB_03,GUDB_walking,christov2004
250,0.814036,0.002412670290764102,2.0,None,GUDB_03,GUDB_hand_bike,christov2004
250,0.785654,0.002051947537840869,2.0,None,GUDB_03,GUDB_jogging,christov2004
250,0.833989,0.005236801613439207,2.0,None,GUDB_04,GUDB_sitting,christov2004
250,0.819501,0.004074546268782119,2.0,None,GUDB_04,GUDB_maths,christov2004
250,0.834415,0.002840487099680295,2.0,None,GUDB_04,GUDB_walking,christov2004
250,0.806294,0.005327312363507718,2.0,None,GUDB_04,GUDB_hand_bike,christov2004
250,0.738981,0.006417420376973383,2.0,None,GUDB_04,GUDB_jogging,christov2004
250,0.824607,0.0018482400009319636,2.0,None,GUDB_05,GUDB_sitting,christov2004
250,0.853236,0.001448867230902069,2.0,None,GUDB_05,GUDB_maths,christov2004
250,0.84923,0.00395500892373028,2.0,None,GUDB_05,GUDB_walking,christov2004
250,0.787122,0.0020382820475181216,2.0,None,GUDB_05,GUDB_hand_bike,christov2004
250,0.822777,0.0030880252879884286,2.0,None,GUDB_05,GUDB_jogging,christov2004
250,0.815585,0.0015755128800507992,2.0,None,GUDB_06,GUDB_sitting,christov2004
250,0.808944,0.00650048833639912,2.0,None,GUDB_06,GUDB_maths,christov2004
250,0.815723,0.0030311114329121744,2.0,None,GUDB_06,GUDB_walking,christov2004
250,0.813841,0.006525765368138481,2.0,None,GUDB_06,GUDB_hand_bike,christov2004
250,0.763105,0.007147590836042648,2.0,None,GUDB_06,GUDB_jogging,christov2004
250,0.811487,0.001906512155093628,2.0,None,GUDB_07,GUDB_sitting,christov2004
250,0.813129,0.0016089771515417656,2.0,None,GUDB_07,GUDB_maths,christov2004
250,0.806859,0.0028887372571557136,2.0,None,GUDB_07,GUDB_walking,christov2004
250,0.839695,0.0019962547122273425,2.0,None,GUDB_07,GUDB_hand_bike,christov2004
250,0.748173,0.09450173283136738,2.0,None,GUDB_07,GUDB_jogging,christov2004
250,0.804698,0.001077927702155064,2.0,None,GUDB_08,GUDB_sitting,christov2004
250,0.815215,0.0010528481832623858,2.0,None,GUDB_08,GUDB_maths,christov2004
250,0.825372,0.0012555372886466543,2.0,None,GUDB_08,GUDB_walking,christov2004
250,0.814322,0.0019241437205371847,2.0,None,GUDB_08,GUDB_hand_bike,christov2004
250,0.789815,0.006135043614372328,2.0,None,GUDB_08,GUDB_jogging,christov2004
250,0.842454,0.0014420821946883812,2.0,None,GUDB_09,GUDB_sitting,christov2004
250,0.794851,0.0004468928782372105,2.0,None,GUDB_09,GUDB_maths,christov2004
250,0.809893,0.0015668656015369695,2.0,None,GUDB_09,GUDB_walking,christov2004
250,0.814917,0.0014994800870742632,2.0,None,GUDB_09,GUDB_hand_bike,christov2004
250,0.766973,0.0032449079765623718,2.0,None,GUDB_09,GUDB_jogging,christov2004
250,0.801343,0.003921018457338876,2.0,None,GUDB_10,GUDB_sitting,christov2004
250,0.812351,0.0026011255016774046,2.0,None,GUDB_10,GUDB_maths,christov2004
250,0.868701,0.0016913078211403176,2.0,None,GUDB_10,GUDB_walking,christov2004
250,0.819983,0.006234975111181308,2.0,None,GUDB_10,GUDB_hand_bike,christov2004
250,0.742944,0.05376341840310218,2.0,None,GUDB_10,GUDB_jogging,christov2004
250,0.729178,0.5065107384220379,2.0,None,GUDB_11,GUDB_sitting,christov2004
250,0.719631,0.4474234221588406,2.0,None,GUDB_11,GUDB_maths,christov2004
250,0.727693,0.41295864598881776,2.0,None,GUDB_11,GUDB_walking,christov2004
250,0.702551,0.4273035233374367,2.0,None,GUDB_11,GUDB_hand_bike,christov2004
250,0.795867,0.08825189430631196,2.0,None,GUDB_11,GUDB_jogging,christov2004
250,0.800045,0.0016883777296291748,2.0,None,GUDB_12,GUDB_sitting,christov2004
250,0.76823,0.0014150976518183995,2.0,None,GUDB_12,GUDB_maths,christov2004
250,0.76897,0.0020070244585148936,2.0,None,GUDB_12,GUDB_walking,christov2004
250,0.76878,0.002181257170985041,2.0,None,GUDB_12,GUDB_hand_bike,christov2004
250,0.76664,0.008084511944690242,2.0,None,GUDB_12,GUDB_jogging,christov2004
250,0.816532,0.0021131199824390378,2.0,None,GUDB_13,GUDB_sitting,christov2004
250,0.809665,0.003964825108358627,2.0,None,GUDB_13,GUDB_maths,christov2004
250,0.79795,0.0025741126259710956,2.0,None,GUDB_13,GUDB_walking,christov2004
250,0.800912,0.008831424728098183,2.0,None,GUDB_13,GUDB_hand_bike,christov2004
250,0.806425,0.0064592909049542195,2.0,None,GUDB_13,GUDB_jogging,christov2004
250,0.721473,0.4020156973513491,2.0,None,GUDB_14,GUDB_sitting,christov2004
250,0.825967,0.004959014646750002,2.0,None,GUDB_14,GUDB_maths,christov2004
250,0.745479,0.2824139027392195,2.0,None,GUDB_14,GUDB_walking,christov2004
250,0.799806,0.3233848720799275,2.0,None,GUDB_14,GUDB_hand_bike,christov2004
250,0.823587,0.0013208335026614513,2.0,None,GUDB_15,GUDB_sitting,christov2004
250,0.822756,0.0012928080677662632,2.0,None,GUDB_15,GUDB_maths,christov2004
250,0.803941,0.0017192894985255237,2.0,None,GUDB_15,GUDB_walking,christov2004
250,0.829607,0.0018611526943375124,2.0,None,GUDB_15,GUDB_hand_bike,christov2004
250,0.763836,0.02789918362235477,2.0,None,GUDB_15,GUDB_jogging,christov2004
250,0.839308,0.004497976186733025,2.0,None,GUDB_16,GUDB_sitting,christov2004
250,0.823866,0.0034248206679195824,2.0,None,GUDB_16,GUDB_maths,christov2004
250,0.81915,0.0025960115085326366,2.0,None,GUDB_16,GUDB_walking,christov2004
250,0.884583,0.002091441065238347,2.0,None,GUDB_16,GUDB_hand_bike,christov2004
250,0.810474,0.0026122289410578023,2.0,None,GUDB_16,GUDB_jogging,christov2004
250,1.311173,0.0040855539524220115,2.0,None,GUDB_17,GUDB_sitting,christov2004
250,1.471866,0.0043610252359685235,2.0,None,GUDB_17,GUDB_maths,christov2004
250,0.814731,0.0016699531070323978,2.0,None,GUDB_17,GUDB_walking,christov2004
250,0.843404,0.004487960281021034,2.0,None,GUDB_17,GUDB_hand_bike,christov2004
250,0.785492,0.003449626119952375,2.0,None,GUDB_17,GUDB_jogging,christov2004
250,0.875671,0.004335931808468921,2.0,None,GUDB_18,GUDB_sitting,christov2004
250,0.875362,0.004379250151869505,2.0,None,GUDB_18,GUDB_maths,christov2004
250,0.702082,0.516432086719649,2.0,None,GUDB_18,GUDB_walking,christov2004
250,0.689924,0.6018180566531176,2.0,None,GUDB_18,GUDB_hand_bike,christov2004
250,0.792764,0.013028046847014524,2.0,None,GUDB_18,GUDB_jogging,christov2004
250,0.810249,0.0029886668215913887,2.0,None,GUDB_19,GUDB_sitting,christov2004
250,0.891695,0.0012511810102161262,2.0,None,GUDB_19,GUDB_maths,christov2004
250,0.848684,0.0031976191270689995,2.0,None,GUDB_19,GUDB_walking,christov2004
250,0.796327,0.08454873014787234,2.0,None,GUDB_19,GUDB_hand_bike,christov2004
250,0.762718,0.01806070288534785,2.0,None,GUDB_19,GUDB_jogging,christov2004
250,0.819242,0.0026107634535007893,2.0,None,GUDB_20,GUDB_sitting,christov2004
250,0.799713,0.014696294846475187,2.0,None,GUDB_20,GUDB_maths,christov2004
250,0.796029,0.0067986613509541894,2.0,None,GUDB_20,GUDB_walking,christov2004
250,0.811454,0.0029609386057058667,2.0,None,GUDB_20,GUDB_hand_bike,christov2004
250,0.78608,0.006129212962424684,2.0,None,GUDB_20,GUDB_jogging,christov2004
250,0.815325,0.003509062331729982,2.0,None,GUDB_21,GUDB_sitting,christov2004
250,0.82999,0.0018917441930313625,2.0,None,GUDB_21,GUDB_maths,christov2004
250,0.82115,0.0024586963345330486,2.0,None,GUDB_21,GUDB_walking,christov2004
250,0.802954,0.006260433739846475,2.0,None,GUDB_21,GUDB_hand_bike,christov2004
250,0.792524,0.010843929107128664,2.0,None,GUDB_21,GUDB_jogging,christov2004
250,0.858574,0.0012818189650084003,2.0,None,GUDB_22,GUDB_sitting,christov2004
250,0.808818,0.001821641114302144,2.0,None,GUDB_22,GUDB_maths,christov2004
250,0.794217,0.0017181420160335072,2.0,None,GUDB_22,GUDB_walking,christov2004
250,0.796858,0.0014903217593457512,2.0,None,GUDB_22,GUDB_hand_bike,christov2004
250,0.76572,0.004728379520987684,2.0,None,GUDB_22,GUDB_jogging,christov2004
250,0.836595,0.0018410726011188878,2.0,None,GUDB_23,GUDB_sitting,christov2004
250,0.815669,0.0019839701354302216,2.0,None,GUDB_23,GUDB_maths,christov2004
250,0.847134,0.002019501267805154,2.0,None,GUDB_23,GUDB_walking,christov2004
250,0.821608,0.013852116390122704,2.0,None,GUDB_23,GUDB_hand_bike,christov2004
250,0.731309,0.0424754547729461,2.0,None,GUDB_23,GUDB_jogging,christov2004
250,0.829252,0.00948564697750777,2.0,None,GUDB_24,GUDB_sitting,christov2004
250,0.827501,0.032152336827916246,2.0,None,GUDB_24,GUDB_maths,christov2004
250,0.829718,0.0035613969103495944,2.0,None,GUDB_24,GUDB_walking,christov2004
250,0.815356,0.012630594438427479,2.0,None,GUDB_24,GUDB_hand_bike,christov2004
250,0.801124,0.026413902034110863,2.0,None,GUDB_24,GUDB_jogging,christov2004
500,6.535774,0.0072136054866782295,8.093833333333333,None,USYD_00,USYD_run,christov2004
500,7.546685,0.001458993037071022,8.094766666666667,None,USYD_01,USYD_sit,christov2004
500,6.794871,0.0011161179812533895,8.0953,None,USYD_02,USYD_walk,christov2004
500,6.813766,0.0012435205200490348,8.2297,None,USYD_03,USYD_run,christov2004
500,6.659751,0.0014540331968760265,8.119566666666666,None,USYD_04,USYD_sit,christov2004
500,6.896418,0.00211550399461253,8.108866666666666,None,USYD_05,USYD_walk,christov2004
500,5.48382,0.4569031218616194,8.077866666666667,None,USYD_06,USYD_run,christov2004
500,6.762242,0.001471491130697323,8.098666666666666,None,USYD_07,USYD_sit,christov2004
500,5.346794,0.45228703028747647,8.096266666666667,None,USYD_08,USYD_walk,christov2004
500,5.516468,0.46951549273641935,8.103833333333334,None,USYD_09,USYD_run,christov2004
500,6.676025,0.018022734721948316,8.1182,None,USYD_10,USYD_sit,christov2004
500,6.691792,0.0016526898236574334,8.114633333333334,None,USYD_11,USYD_walk,christov2004
500,6.127915,0.6000262314300336,8.127033333333333,None,USYD_12,USYD_run,christov2004
500,7.106845,0.001345914078062919,8.2691,None,USYD_13,USYD_sit,christov2004
500,6.551846,0.11194009548681796,8.128033333333333,None,USYD_14,USYD_walk,christov2004
500,6.59673,0.0011060059341075552,8.2499,None,USYD_15,USYD_run,christov2004
500,5.485184,0.4492691469906292,8.072933333333333,None,USYD_16,USYD_sit,christov2004
500,6.468967,0.001319758937135387,8.076133333333333,None,USYD_17,USYD_walk,christov2004
500,5.792769,0.5914953445982281,8.2333,None,USYD_18,USYD_run,christov2004
500,6.816266,0.0027822765544043364,8.1331,None,USYD_19,USYD_sit,christov2004
500,6.72469,0.0023929893274339175,8.121166666666666,None,USYD_20,USYD_walk,christov2004
500,7.701511,0.0012221776406247625,8.081966666666666,None,USYD_21,USYD_run,christov2004
500,6.614623,0.0013168638871376996,8.097900000000001,None,USYD_22,USYD_sit,christov2004
500,6.573281,0.0014902164776862369,8.0847,None,USYD_23,USYD_walk,christov2004
500,6.488201,0.011218124482697515,8.070866666666667,None,USYD_24,USYD_run,christov2004
500,6.561479,0.0009176971573807103,8.075633333333334,None,USYD_25,USYD_sit,christov2004
500,6.341506,0.03590408235240464,8.087566666666667,None,USYD_26,USYD_walk,christov2004
500,6.778624,0.0012482770913791572,8.0793,None,USYD_27,USYD_run,christov2004
500,5.773894,0.41366028408863875,8.319799999999999,None,USYD_28,USYD_sit,christov2004
500,6.636371,0.0013467814658193536,8.208766666666667,None,USYD_29,USYD_walk,christov2004
500,5.305701,0.5175357290312216,8.1758,None,USYD_30,USYD_run,christov2004
500,7.019656,0.000623277157556268,8.467533333333334,None,USYD_31,USYD_sit,christov2004
500,5.622303,0.2851290363262615,8.196733333333333,None,USYD_32,USYD_walk,christov2004
500,6.623985,0.010563360659811652,8.289399999999999,None,USYD_33,USYD_run,christov2004
500,6.695076,0.0016051615026205536,8.257466666666666,None,USYD_34,USYD_sit,christov2004
500,6.477838,0.0033837431418060485,8.075333333333333,None,USYD_35,USYD_walk,christov2004
500,6.483114,0.0009389216896590919,8.0844,None,USYD_36,USYD_run,christov2004
500,5.398444,0.5497914323218425,8.1646,None,USYD_37,USYD_sit,christov2004
500,6.500941,0.0009229480161143454,8.106433333333333,None,USYD_38,USYD_walk,christov2004
500,6.56965,0.0018649258907524606,8.155866666666666,None,USYD_39,USYD_run,christov2004
500,6.495773,0.001095029451813601,8.0878,None,USYD_40,USYD_sit,christov2004
500,6.457991,0.0017024094732155499,8.0886,None,USYD_41,USYD_walk,christov2004
500,6.017011,0.04500775815233863,8.219266666666666,None,USYD_42,USYD_run,christov2004
500,6.416123,0.001683386681662062,8.206866666666667,None,USYD_43,USYD_sit,christov2004
500,6.249094,0.018010372212296306,8.2288,None,USYD_44,USYD_walk,christov2004
500,6.568449,0.005155829325747732,8.124233333333333,None,USYD_45,USYD_run,christov2004
500,6.65393,0.0014278001710913296,8.204966666666667,None,USYD_46,USYD_sit,christov2004
500,6.589556,0.0021607749588608153,8.219566666666667,None,USYD_47,USYD_walk,christov2004
500,5.393801,0.3943630048710822,8.1916,None,USYD_48,USYD_run,christov2004
500,6.646054,0.0006692629045912292,8.231866666666667,None,USYD_49,USYD_sit,christov2004
500,6.493718,0.08139130475524545,8.440033333333334,None,USYD_50,USYD_walk,christov2004
500,7.376352,0.0027109925481696674,9.188533333333334,None,USYD_51,USYD_run,christov2004
500,5.884286,0.27374612791350406,8.239866666666666,None,USYD_52,USYD_sit,christov2004
500,6.629743,0.0021628095406096017,8.194733333333334,None,USYD_53,USYD_walk,christov2004
500,6.765633,0.0018745360544093438,8.2906,None,USYD_54,USYD_run,christov2004
500,6.757673,0.0017019055286132663,8.316733333333334,None,USYD_55,USYD_sit,christov2004
500,5.553704,0.46904866683191804,8.589266666666667,None,USYD_56,USYD_walk,christov2004
500,5.344457,0.4852456640787395,8.287533333333334,None,USYD_57,USYD_run,christov2004
500,7.013861,0.0021183856556505408,8.433533333333333,None,USYD_58,USYD_sit,christov2004
500,6.189729,0.17819939208256547,8.1992,None,USYD_59,USYD_walk,christov2004
500,6.4378,0.003869330968120443,8.084766666666667,None,USYD_60,USYD_run,christov2004
500,6.602392,0.0012069526251520146,8.159,None,USYD_61,USYD_sit,christov2004
500,6.550051,0.004894842895738768,8.121566666666666,None,USYD_62,USYD_walk,christov2004
500,5.31253,0.47135192011095617,8.1415,None,USYD_63,USYD_run,christov2004
500,5.382946,0.5812986295153265,8.1139,None,USYD_64,USYD_sit,christov2004
500,5.335983,0.5547637643365366,8.124466666666667,None,USYD_65,USYD_walk,christov2004
256,15.349155,0.013478537475942944,37.44166666666667,None,IFADO_00,IFADO_SOT,christov2004
256,11.097056,0.2701458787753094,30.975,None,IFADO_01,IFADO_SOT,christov2004
256,16.18297,0.017805661240765037,39.61666666666667,None,IFADO_02,IFADO_SOT,christov2004
256,12.300269,0.10347758127648382,30.529166666666665,None,IFADO_03,IFADO_SOT,christov2004
256,12.83892,0.23233564462603962,33.3625,None,IFADO_04,IFADO_SOT,christov2004
256,12.034916,0.04975568458499148,29.616666666666667,None,IFADO_05,IFADO_SOT,christov2004
256,12.804064,0.002175785803314524,30.6625,None,IFADO_06,IFADO_SOT,christov2004
256,14.448628,0.25831896044574665,35.204166666666666,None,IFADO_07,IFADO_SOT,christov2004
256,13.379359,0.014186029327032893,31.916666666666668,None,IFADO_08,IFADO_SOT,christov2004
256,11.928577,0.31044465067339116,32.454166666666666,None,IFADO_09,IFADO_SOT,christov2004
256,12.482437,0.02424666793013148,31.104166666666668,None,IFADO_10,IFADO_SOT,christov2004
256,11.960747,0.01512632488254139,29.179166666666667,None,IFADO_11,IFADO_SOT,christov2004
256,14.46409,0.003954238365942338,35.733333333333334,None,IFADO_12,IFADO_SOT,christov2004
360,21.648737,0.0020294483586083918,30.092592592592595,None,MIT-Arrhythmia_00,MIT-Arrhythmia,christov2004
360,15.120544,0.7327496576551926,30.092592592592595,None,MIT-Arrhythmia_01,MIT-Arrhythmia,christov2004
360,18.473168,0.003327240957090708,30.092592592592595,None,MIT-Arrhythmia_02,MIT-Arrhythmia,christov2004
360,18.228483,0.0014441108724657626,30.092592592592595,None,MIT-Arrhythmia_03,MIT-Arrhythmia,christov2004
360,14.646178,0.5946218220336762,30.092592592592595,None,MIT-Arrhythmia_04,MIT-Arrhythmia,christov2004
360,17.722585,0.011857156233119535,30.092592592592595,None,MIT-Arrhythmia_05,MIT-Arrhythmia,christov2004
360,15.703167,0.4458556468394361,30.092592592592595,None,MIT-Arrhythmia_06,MIT-Arrhythmia,christov2004
360,17.059965,0.22123300562475706,30.092592592592595,None,MIT-Arrhythmia_07,MIT-Arrhythmia,christov2004
360,14.60708,0.7966394655915412,30.092592592592595,None,MIT-Arrhythmia_08,MIT-Arrhythmia,christov2004
360,4.766457,0.8352984802008296,10.0,None,MIT-Arrhythmia_08,MIT-Arrhythmia-x,christov2004
360,18.343159,0.004490655957996573,30.092592592592595,None,MIT-Arrhythmia_09,MIT-Arrhythmia,christov2004
360,5.999736,0.003473079444044982,10.0,None,MIT-Arrhythmia_09,MIT-Arrhythmia-x,christov2004
360,18.158305,0.01155488710310807,30.092592592592595,None,MIT-Arrhythmia_10,MIT-Arrhythmia,christov2004
360,5.996498,0.01100323856334841,10.0,None,MIT-Arrhythmia_10,MIT-Arrhythmia-x,christov2004
360,18.198318,0.001403266660958621,30.092592592592595,None,MIT-Arrhythmia_11,MIT-Arrhythmia,christov2004
360,5.847272,0.0012958018431946103,10.0,None,MIT-Arrhythmia_11,MIT-Arrhythmia-x,christov2004
360,18.207997,0.0017026810563082891,30.092592592592595,None,MIT-Arrhythmia_12,MIT-Arrhythmia,christov2004
360,6.056187,0.0023721238434132627,10.0,None,MIT-Arrhythmia_12,MIT-Arrhythmia-x,christov2004
360,17.161568,0.2578629650786003,30.092592592592595,None,MIT-Arrhythmia_13,MIT-Arrhythmia,christov2004
360,4.877563,0.7084475181627341,10.0,None,MIT-Arrhythmia_13,MIT-Arrhythmia-x,christov2004
360,18.159287,0.0013687563793688844,30.092592592592595,None,MIT-Arrhythmia_14,MIT-Arrhythmia,christov2004
360,6.073683,0.001989416972054575,10.0,None,MIT-Arrhythmia_14,MIT-Arrhythmia-x,christov2004
360,18.346176,0.1410969856758597,30.092592592592595,None,MIT-Arrhythmia_15,MIT-Arrhythmia,christov2004
360,5.811815,0.00315926817750503,10.0,None,MIT-Arrhythmia_15,MIT-Arrhythmia-x,christov2004
360,18.589522,0.0034966732957508284,30.092592592592595,None,MIT-Arrhythmia_16,MIT-Arrhythmia,christov2004
360,6.063477,0.004078413110572612,10.0,None,MIT-Arrhythmia_16,MIT-Arrhythmia-x,christov2004
360,14.669768,0.5792293985042687,30.092592592592595,None,MIT-Arrhythmia_17,MIT-Arrhythmia,christov2004
360,17.630248,0.004018486070227725,30.092592592592595,None,MIT-Arrhythmia_18,MIT-Arrhythmia,christov2004
360,18.786891,0.0021603280811912616,30.092592592592595,None,MIT-Arrhythmia_19,MIT-Arrhythmia,christov2004
360,5.941552,0.0021355413600543153,10.0,None,MIT-Arrhythmia_19,MIT-Arrhythmia-x,christov2004
360,18.081149,0.001574768150567255,30.092592592592595,None,MIT-Arrhythmia_20,MIT-Arrhythmia,christov2004
360,7.921114,0.002086913035642763,10.0,None,MIT-Arrhythmia_20,MIT-Arrhythmia-x,christov2004
360,15.130554,0.9915390132537296,30.092592592592595,None,MIT-Arrhythmia_21,MIT-Arrhythmia,christov2004
360,4.708649,0.9878924901790156,10.0,None,MIT-Arrhythmia_21,MIT-Arrhythmia-x,christov2004
360,18.561855,0.004561443941972741,30.092592592592595,None,MIT-Arrhythmia_22,MIT-Arrhythmia,christov2004
360,6.148707,0.003098987782573956,10.0,None,MIT-Arrhythmia_22,MIT-Arrhythmia-x,christov2004
360,17.418545,0.006473591024967207,30.092592592592595,None,MIT-Arrhythmia_23,MIT-Arrhythmia,christov2004
360,18.285461,0.039849199402202905,30.092592592592595,None,MIT-Arrhythmia_24,MIT-Arrhythmia,christov2004
360,17.889192,0.006630750047158722,30.092592592592595,None,MIT-Arrhythmia_25,MIT-Arrhythmia,christov2004
360,14.89288,0.35450333718750554,30.092592592592595,None,MIT-Arrhythmia_26,MIT-Arrhythmia,christov2004
360,18.121206,0.003586575190381497,30.092592592592595,None,MIT-Arrhythmia_27,MIT-Arrhythmia,christov2004
360,14.720816,3.7018528312133676,30.092592592592595,None,MIT-Arrhythmia_28,MIT-Arrhythmia,christov2004
360,14.86045,0.3653120090836546,30.092592592592595,None,MIT-Arrhythmia_29,MIT-Arrhythmia,christov2004
360,17.640927,0.0020535019229860505,30.092592592592595,None,MIT-Arrhythmia_30,MIT-Arrhythmia,christov2004
360,14.710208,0.47458018840826105,30.092592592592595,None,MIT-Arrhythmia_31,MIT-Arrhythmia,christov2004
360,17.854052,0.001150775688675839,30.092592592592595,None,MIT-Arrhythmia_32,MIT-Arrhythmia,christov2004
360,17.56162,0.00628547507017293,30.092592592592595,None,MIT-Arrhythmia_33,MIT-Arrhythmia,christov2004
360,14.681266,0.6004179275708684,30.092592592592595,None,MIT-Arrhythmia_34,MIT-Arrhythmia,christov2004
360,18.654192,0.004210187471803949,30.092592592592595,None,MIT-Arrhythmia_35,MIT-Arrhythmia,christov2004
360,18.000874,0.008129009053948229,30.092592592592595,None,MIT-Arrhythmia_36,MIT-Arrhythmia,christov2004
360,17.533218,0.007672059793279172,30.092592592592595,None,MIT-Arrhythmia_37,MIT-Arrhythmia,christov2004
360,18.320183,0.0015252642065839179,30.092592592592595,None,MIT-Arrhythmia_38,MIT-Arrhythmia,christov2004
360,5.949816,0.0012933236511551809,10.0,None,MIT-Arrhythmia_38,MIT-Arrhythmia-x,christov2004
360,17.212806,0.007741052844172892,30.092592592592595,None,MIT-Arrhythmia_39,MIT-Arrhythmia,christov2004
360,5.582739,0.008887007212662609,10.0,None,MIT-Arrhythmia_39,MIT-Arrhythmia-x,christov2004
360,14.784444,0.5628851021238703,30.092592592592595,None,MIT-Arrhythmia_40,MIT-Arrhythmia,christov2004
360,4.77602,0.6122503857867432,10.0,None,MIT-Arrhythmia_40,MIT-Arrhythmia-x,christov2004
360,17.60722,0.007563864209665423,30.092592592592595,None,MIT-Arrhythmia_41,MIT-Arrhythmia,christov2004
360,5.792425,0.004310171894821917,10.0,None,MIT-Arrhythmia_41,MIT-Arrhythmia-x,christov2004
360,16.275206,0.2610493422398167,30.092592592592595,None,MIT-Arrhythmia_42,MIT-Arrhythmia,christov2004
360,4.994111,0.40863294768344416,10.0,None,MIT-Arrhythmia_42,MIT-Arrhythmia-x,christov2004
360,17.069554,0.49216014552178683,30.092592592592595,None,MIT-Arrhythmia_43,MIT-Arrhythmia,christov2004
360,5.281344,0.33616173548755895,10.0,None,MIT-Arrhythmia_43,MIT-Arrhythmia-x,christov2004
360,18.630564,0.0015337485876197668,30.092592592592595,None,MIT-Arrhythmia_44,MIT-Arrhythmia,christov2004
360,7.221692,0.0022921398492953696,10.0,None,MIT-Arrhythmia_44,MIT-Arrhythmia-x,christov2004
360,17.105273,0.008019718671780751,30.092592592592595,None,MIT-Arrhythmia_45,MIT-Arrhythmia,christov2004
360,5.574438,0.009624442967161962,10.0,None,MIT-Arrhythmia_45,MIT-Arrhythmia-x,christov2004
360,14.66045,0.38780246687125774,30.092592592592595,None,MIT-Arrhythmia_46,MIT-Arrhythmia,christov2004
360,4.730864,0.3847511806648408,10.0,None,MIT-Arrhythmia_46,MIT-Arrhythmia-x,christov2004
360,17.816936,0.002145287648681955,30.092592592592595,None,MIT-Arrhythmia_47,MIT-Arrhythmia,christov2004
